log_fr,log_Mb,habitat,order,family,genus,species,breath_rate,body_mass,sex,activity_level,individual_name,common_name,age,temp,location
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,864.83,F,3,Yulka,Beluga,33,18,Water
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,864.83,F,1,Yulka,Beluga,33,16,Water
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,864.83,F,2,Yulka,Beluga,33,16,Water
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,864.83,F,3,Yulka,Beluga,33,16,Water
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,865.83,F,3,Yulka,Beluga,33,16,Water
0.146,2.316,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,207,M,1,Achille,Bottlenose Dolphin,21,24.5,Water
0.204,2.316,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,207,M,1,Achille,Bottlenose Dolphin,21,24.5,Water
0.204,2.312,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,205,M,2,Achille,Bottlenose Dolphin,21,24.5,Water
0.079,2.312,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,205,M,1,Achille,Bottlenose Dolphin,21,24.5,Water
0.204,2.312,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,205,M,1,Achille,Bottlenose Dolphin,21,24.6,Water
0.255,2.26,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,182,M,2,Al,Bottlenose Dolphin,36,29,Water
0.204,2.26,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,182,M,1,Al,Bottlenose Dolphin,36,29,Water
0.079,2.26,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,182,M,1,Al,Bottlenose Dolphin,36,29,Water
0.368,2.093,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.333458062,124,F,1,Alana,Bottlenose Dolphin,5,22,Water
0.38,2.093,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,124,F,2,Alana,Bottlenose Dolphin,5,22,Water
0.204,2.093,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,124,F,1,Alana,Bottlenose Dolphin,5,22,Water
0.255,2.106,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,127.5,F,2,Alana,Bottlenose Dolphin,5,21,Water
0.342,2.106,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,127.5,F,1,Alana,Bottlenose Dolphin,5,21,Water
0.255,2.106,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,127.5,F,2,Alana,Bottlenose Dolphin,5,21,Water
0.079,2.236,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,172,F,1,Alegria,Bottlenose Dolphin,36,29,Water
0,2.236,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,172,F,1,Alegria,Bottlenose Dolphin,36,29,Water
0,2.236,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,172,F,1,Alegria,Bottlenose Dolphin,36,29,Water
0.204,2.19,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,155,F,3,Alicia,Bottlenose Dolphin,8,28.69,Water
0.255,2.19,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,155,F,3,Alicia,Bottlenose Dolphin,8,28.84,Water
0.301,2.19,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,155,F,2,Alicia,Bottlenose Dolphin,8,29.2,Water
-0.097,2.23,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,0.799834255,170,F,1,Alma,Bottlenose Dolphin,39,29,Water
0,2.23,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,170,F,1,Alma,Bottlenose Dolphin,39,29,Water
0,2.23,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,170,F,1,Alma,Bottlenose Dolphin,39,29,Water
0.204,2.22,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,166,F,2,Alpha,Bottlenose Dolphin,17,19.4,Water
0.415,2.22,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,166,F,2,Alpha,Bottlenose Dolphin,17,18.5,Water
0.38,2.22,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,166,F,2,Alpha,Bottlenose Dolphin,17,18.9,Water
0.38,2.076,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,119,M,2,Amadeus,Bottlenose Dolphin,10,27,Water
0.415,2.076,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,119,M,2,Amadeus,Bottlenose Dolphin,10,30,Water
0.531,2.076,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,3.396252726,119,M,3,Amadeus,Bottlenose Dolphin,10,31,Water
