log_fr,log_Mb,habitat,order,family,genus,species,breath_rate,body_mass,sex,activity_level,individual_name,common_name,age,temp,location
0.079,2.246,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,176,M,1,Copernico,Bottlenose Dolphin,23,29,Water
0.146,2.246,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,176,M,1,Copernico,Bottlenose Dolphin,23,29,Water
0.342,2.097,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,125,F,3,Cossete,Bottlenose Dolphin,11,26.98,Water
0.146,2.097,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,125,F,2,Cossete,Bottlenose Dolphin,11,27.15,Water
0.079,2.097,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,125,F,1,Cossete,Bottlenose Dolphin,11,27.41,Water
0,2.064,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,116,M,1,Cronos,Bottlenose Dolphin,6,29,Water
0,2.064,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,116,M,1,Cronos,Bottlenose Dolphin,6,29,Water
0.146,2.064,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,116,M,2,Cronos,Bottlenose Dolphin,6,29,Water
0.342,1.903,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,80,F,2,Daenerys,Bottlenose Dolphin,4,27.93,Water
0.415,1.903,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,80,F,3,Daenerys,Bottlenose Dolphin,4,27.15,Water
0.301,1.903,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,80,F,2,Daenerys,Bottlenose Dolphin,4,27.41,Water
0.255,2.217,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,165,F,1,Daniela,Bottlenose Dolphin,34,28,Water
0.301,2.217,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,165,F,2,Daniela,Bottlenose Dolphin,34,30,Water
0.38,2.217,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,165,F,2,Daniela,Bottlenose Dolphin,34,30,Water
0.146,2.23,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,170,F,2,Denise,Bottlenose Dolphin,24,31,Water
0.146,2.23,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,170,F,2,Denise,Bottlenose Dolphin,24,31,Water
0.204,2.23,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,170,F,2,Denise,Bottlenose Dolphin,24,31,Water
0.38,2.185,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,153,F,3,Desire,Bottlenose Dolphin,14,28.57,Water
0.204,2.185,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,153,F,2,Desire,Bottlenose Dolphin,14,28.63,Water
0.301,2.185,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,153,F,3,Desire,Bottlenose Dolphin,14,28.5,Water
0.255,2.09,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,123,M,1,Diego,Bottlenose Dolphin,11,27,Water
0.38,2.09,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,123,M,1,Diego,Bottlenose Dolphin,11,30,Water
0.505,2.09,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,3.19889511,123,M,3,Diego,Bottlenose Dolphin,11,31,Water
0.255,2.346,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,222,M,2,Dino,Bottlenose Dolphin,27,19.2,Water
0.477,2.346,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.999162519,222,M,1,Dino,Bottlenose Dolphin,27,20.3,Water
0.146,2.346,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,222,M,1,Dino,Bottlenose Dolphin,27,20.7,Water
0.255,2.104,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,127,M,2,Drake,Bottlenose Dolphin,8,29,Water
0.342,2.104,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,127,M,2,Drake,Bottlenose Dolphin,8,29,Water
0,2.104,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,127,M,1,Drake,Bottlenose Dolphin,8,29,Water
0.301,2.009,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,102,M,2,Edison,Bottlenose Dolphin,6,26.98,Water
0.415,2.009,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,102,M,3,Edison,Bottlenose Dolphin,6,27.15,Water
0.255,2.009,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,102,M,2,Edison,Bottlenose Dolphin,6,27.41,Water
0.301,2.127,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,134,F,2,Elena,Bottlenose Dolphin,11,30.2,Water
0.146,2.127,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,134,F,1,Elena,Bottlenose Dolphin,11,30.16,Water
0.255,2.127,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,134,F,2,Elena,Bottlenose Dolphin,11,30.28,Water
0.415,2.152,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,142,F,2,Esperanza,Bottlenose Dolphin,29,29,Water
0.204,2.152,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,142,F,1,Esperanza,Bottlenose Dolphin,29,29,Water
0.146,2.152,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,142,F,1,Esperanza,Bottlenose Dolphin,29,29,Water
0.079,2.188,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,154,F,1,Fenah,Bottlenose Dolphin,15,22,Water
0.079,2.188,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,154,F,1,Fenah,Bottlenose Dolphin,15,22,Water
0.146,2.188,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,154,F,1,Fenah,Bottlenose Dolphin,15,22,Water
0.255,2.186,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,153.5,F,2,Fenah,Bottlenose Dolphin,15,21,Water
0.301,2.186,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,153.5,F,2,Fenah,Bottlenose Dolphin,15,21,Water
0.195,2.186,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.56675107,153.5,F,1,Fenah,Bottlenose Dolphin,15,21,Water
0.204,2.188,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,154,F,1,Fenah,Bottlenose Dolphin,15,22.4,Water
0.146,2.188,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,154,F,1,Fenah,Bottlenose Dolphin,15,22.4,Water
0.204,2.193,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,156,F,1,Fenah,Bottlenose Dolphin,15,22.4,Water
0.146,2.197,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,157.5,F,1,Fenah,Bottlenose Dolphin,15,22,Water
0.204,2.197,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,157.5,F,1,Fenah,Bottlenose Dolphin,15,22,Water
0.255,2.197,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,157.5,F,1,Fenah,Bottlenose Dolphin,15,22,Water
0.255,2.013,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,103,M,1,Fénix,Bottlenose Dolphin,11,27.8,Water
0.255,2.013,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,103,M,1,Fénix,Bottlenose Dolphin,11,27.9,Water
0.204,2.013,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,103,M,1,Fénix,Bottlenose Dolphin,11,28.4,Water
0.204,2.114,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,130,M,2,Fernando,Bottlenose Dolphin,9,30.22,Water
0.301,2.114,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,130,M,2,Fernando,Bottlenose Dolphin,9,30.28,Water
0.301,2.114,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,130,M,2,Fernando,Bottlenose Dolphin,9,30.37,Water
0.342,2.14,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,138,M,3,Finn,Bottlenose Dolphin,5,22,Water
0.342,2.14,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,138,M,1,Finn,Bottlenose Dolphin,5,22,Water
0.447,2.14,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.79898132,138,M,2,Finn,Bottlenose Dolphin,5,22,Water
0.301,2.152,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,142,M,2,Finn,Bottlenose Dolphin,5,21,Water
0.255,2.152,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,142,M,1,Finn,Bottlenose Dolphin,5,21,Water
0.146,2.152,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,142,M,1,Finn,Bottlenose Dolphin,5,21,Water
0.255,2.169,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,147.7,M,1,Finn,Bottlenose Dolphin,10,26.11111111,Water
0.301,2.169,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,147.7,M,1,Finn,Bottlenose Dolphin,10,26.61111111,Water
0.255,2.171,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,148.2,M,1,Finn,Bottlenose Dolphin,10,26.5,Water
0.415,2.171,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,148.2,M,1,Finn,Bottlenose Dolphin,10,25.66666667,Water
0.255,2.175,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,149.5,M,1,Finn,Bottlenose Dolphin,10,26.33333333,Water
0.204,2.161,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,145,F,2,Frida,Bottlenose Dolphin,21,30.11,Water
0.255,2.161,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,145,F,2,Frida,Bottlenose Dolphin,21,30.2,Water
0.146,2.161,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,145,F,1,Frida,Bottlenose Dolphin,21,30.16,Water
0.204,2.241,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,174,M,2,Galileo,Bottlenose Dolphin,20,29,Water
0.146,2.241,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,174,M,1,Galileo,Bottlenose Dolphin,20,29,Water
0.079,2.241,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,174,M,1,Galileo,Bottlenose Dolphin,20,29,Water
0.342,1.968,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,93,M,2,Gandalf,Bottlenose Dolphin,6,27.93,Water
0.38,1.968,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,93,M,3,Gandalf,Bottlenose Dolphin,6,27.15,Water
0.342,1.968,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,93,M,2,Gandalf,Bottlenose Dolphin,6,27.41,Water
0.38,2.155,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,143,M,1,Gaudi,Bottlenose Dolphin,10,28.39,Water
0.415,2.155,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,143,M,1,Gaudi,Bottlenose Dolphin,10,28.09,Water
0.301,2.155,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,143,M,1,Gaudi,Bottlenose Dolphin,10,28.52,Water
0.146,2.111,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,129,F,2,Gemini,Bottlenose Dolphin,9,31,Water
0.079,2.111,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,129,F,2,Gemini,Bottlenose Dolphin,9,31,Water
0.204,2.111,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,129,F,2,Gemini,Bottlenose Dolphin,9,31,Water
0.255,2.207,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,161,M,3,Gigio,Bottlenose Dolphin,14,26.98,Water
0.146,2.207,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,161,M,1,Gigio,Bottlenose Dolphin,14,27.15,Water
0.204,2.207,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,161,M,2,Gigio,Bottlenose Dolphin,14,27.41,Water
0.146,2.182,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,152,M,2,Goya,Bottlenose Dolphin,25,28.39,Water
0.342,2.182,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,152,M,2,Goya,Bottlenose Dolphin,25,28.09,Water
0.342,2.182,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,152,M,2,Goya,Bottlenose Dolphin,25,28.52,Water
0.204,2.161,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,145,F,2,Grecia,Bottlenose Dolphin,22,28.57,Water
0.079,2.161,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,145,F,1,Grecia,Bottlenose Dolphin,22,28.63,Water
0.301,2.161,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,145,F,2,Grecia,Bottlenose Dolphin,22,28.5,Water
0.415,2.318,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,208,M,2,Guama,Bottlenose Dolphin,41,22,Water
0.255,2.318,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,208,M,2,Guama,Bottlenose Dolphin,41,22,Water
0.255,2.318,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,208,M,1,Guama,Bottlenose Dolphin,41,22,Water
0,2.312,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,205,M,1,Guama,Bottlenose Dolphin,41,21,Water
0.255,2.312,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,205,M,2,Guama,Bottlenose Dolphin,41,21,Water
0.146,2.312,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,205,M,1,Guama,Bottlenose Dolphin,41,21,Water
0.058,2.303,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.142878335,201,M,1,Guama,Bottlenose Dolphin,41,23.5,Water
0.301,2.322,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,210,M,1,Guama,Bottlenose Dolphin,41,22,Water
0.079,2.319,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,208.5,M,1,Guama,Bottlenose Dolphin,41,22.4,Water
0.204,2.32,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,209,M,1,Guama,Bottlenose Dolphin,41,22.4,Water
0.255,2.223,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,167,M,2,Hanzel,Bottlenose Dolphin,14,28.63,Water
0.415,2.223,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,167,M,2,Hanzel,Bottlenose Dolphin,14,28.7,Water
0.342,2.223,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,167,M,2,Hanzel,Bottlenose Dolphin,14,29.5,Water
0.146,2.124,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,133,F,3,Havana,Bottlenose Dolphin,13,28.39,Water
0.301,2.124,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,133,F,2,Havana,Bottlenose Dolphin,13,28.09,Water
0.301,2.124,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,133,F,2,Havana,Bottlenose Dolphin,13,28.52,Water
0.447,2.167,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.79898132,147,F,1,Hellen,Bottlenose Dolphin,43,27.8,Water
0.415,2.17,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,148,F,1,Hellen,Bottlenose Dolphin,43,28.1,Water
0.38,2.173,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,149,F,1,Hellen,Bottlenose Dolphin,43,27.9,Water
0.342,2.045,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,111,F,2,Hermes,Bottlenose Dolphin,6,27.93,Water
0.301,2.045,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,111,F,2,Hermes,Bottlenose Dolphin,6,27.15,Water
0.255,2.045,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,111,F,2,Hermes,Bottlenose Dolphin,6,27.41,Water
0.301,2.033,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,108,F,1,Hestia,Bottlenose Dolphin,9,27.8,Water
0.255,2.033,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,108,F,1,Hestia,Bottlenose Dolphin,9,27.9,Water
0.255,2.033,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,108,F,1,Hestia,Bottlenose Dolphin,9,28.4,Water
0.531,2.129,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,3.396252726,134.7,F,3,Hopee,Bottlenose Dolphin,13,26,Water
0.255,2.129,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,134.7,F,2,Hopee,Bottlenose Dolphin,13,24,Water
0.415,2.129,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,134.7,F,2,Hopee,Bottlenose Dolphin,13,24,Water
0.447,2.129,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.79898132,134.7,F,2,Hopee,Bottlenose Dolphin,13,24,Water
0.146,2.129,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,134.7,F,2,Hopee,Bottlenose Dolphin,13,24,Water
0.38,2.274,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,188,M,1,Hugo,Bottlenose Dolphin,27,19,Water
0.342,2.274,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,188,M,2,Hugo,Bottlenose Dolphin,27,18.9,Water
-0.699,2.274,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,0.199986187,188,M,1,Hugo,Bottlenose Dolphin,27,18.9,Water
0.342,2.31,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,204,F,1,Iara,Bottlenose Dolphin,16,20.5,Water
0.204,2.31,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,204,F,1,Iara,Bottlenose Dolphin,16,20.3,Water
0.301,2.31,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,204,F,2,Iara,Bottlenose Dolphin,16,20.3,Water
0.447,2.162,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.79898132,145.2,M,2,Indi,Bottlenose Dolphin,8,25.5,Water
0.255,2.162,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,145.2,M,2,Indi,Bottlenose Dolphin,8,25.6,Water
0.079,2.162,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,145.2,M,2,Indi,Bottlenose Dolphin,8,24.4,Water
0.255,2.122,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,132.5,F,2,Izzy,Bottlenose Dolphin,8,26,Water
0.38,2.122,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,132.5,F,3,Izzy,Bottlenose Dolphin,8,24,Water
0.38,2.122,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,132.5,F,3,Izzy,Bottlenose Dolphin,8,24,Water
0.531,2.122,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,3.396252726,132.5,F,2,Izzy,Bottlenose Dolphin,8,24,Water
0.447,2.122,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.79898132,132.5,F,1,Izzy,Bottlenose Dolphin,8,24,Water
0.415,2.152,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,142,M,2,Jazz,Bottlenose Dolphin,12,28.63,Water
0.38,2.152,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,142,M,2,Jazz,Bottlenose Dolphin,12,28.7,Water
0.477,2.152,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.999162519,142,M,3,Jazz,Bottlenose Dolphin,12,29.5,Water
0.255,2.107,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,128,F,2,Jimena,Bottlenose Dolphin,8,30.24,Water
0.342,2.107,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,128,F,2,Jimena,Bottlenose Dolphin,8,30.2,Water
0.301,2.107,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,128,F,2,Jimena,Bottlenose Dolphin,8,30.2,Water
0.204,2.365,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,232,M,2,Jj,Bottlenose Dolphin,47,31,Water
0.079,2.365,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,232,M,2,Jj,Bottlenose Dolphin,47,31,Water
0.204,2.365,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,232,M,2,Jj,Bottlenose Dolphin,47,31,Water
0,2.09,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,123,F,1,Joy,Bottlenose Dolphin,8,29,Water
0,2.09,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,123,F,1,Joy,Bottlenose Dolphin,8,29,Water
0,2.09,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,123,F,1,Joy,Bottlenose Dolphin,8,29,Water
0.255,2.255,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,180,F,2,Julieta,Bottlenose Dolphin,24,28.39,Water
0.38,2.255,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,180,F,3,Julieta,Bottlenose Dolphin,24,28.09,Water
0.255,2.255,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,180,F,1,Julieta,Bottlenose Dolphin,24,28.52,Water
0.301,2.09,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,123,F,1,Kathy,Bottlenose Dolphin,14,27.8,Water
0.146,2.09,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,123,F,1,Kathy,Bottlenose Dolphin,14,28.1,Water
0.255,2.09,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,123,F,1,Kathy,Bottlenose Dolphin,14,27.9,Water
0.204,2.283,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,192,M,2,Kepler,Bottlenose Dolphin,32,28.69,Water
0.079,2.283,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,192,M,1,Kepler,Bottlenose Dolphin,32,28.84,Water
0,2.283,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,192,M,1,Kepler,Bottlenose Dolphin,32,29.2,Water
0,2.405,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,254,M,1,King,Bottlenose Dolphin,31,25.6,Water
0,2.405,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,254,M,2,King,Bottlenose Dolphin,31,24.4,Water
0.38,2.405,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,254,M,3,King,Bottlenose Dolphin,31,24.5,Water
0.342,2.155,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,143,F,1,Krista,Bottlenose Dolphin,19,27.8,Water
0.255,2.158,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,144,F,1,Krista,Bottlenose Dolphin,19,28.1,Water
0.204,2.161,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,145,F,1,Krista,Bottlenose Dolphin,19,27.9,Water
0.146,2.269,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,185.8,F,2,Leah,Bottlenose Dolphin,21,25.6,Water
0.146,2.269,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,185.8,F,3,Leah,Bottlenose Dolphin,21,24.4,Water
0.079,2.269,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,185.8,F,2,Leah,Bottlenose Dolphin,21,24.5,Water
0.301,2.152,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,142,M,2,Leo,Bottlenose Dolphin,11,19.4,Water
0.255,2.152,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,142,M,1,Leo,Bottlenose Dolphin,11,19.8,Water
0.447,2.152,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.79898132,142,M,2,Leo,Bottlenose Dolphin,11,19.2,Water
0.255,2.342,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,220,M,1,Lótus,Bottlenose Dolphin,28,19.2,Water
0.255,2.342,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,220,M,1,Lótus,Bottlenose Dolphin,28,20.3,Water
0.079,2.342,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,220,M,1,Lótus,Bottlenose Dolphin,28,20.7,Water
0.204,2.255,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,180,F,1,Lua,Bottlenose Dolphin,27,20.2,Water
0.204,2.255,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,180,F,1,Lua,Bottlenose Dolphin,27,20.8,Water
0.342,2.255,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,180,F,3,Lua,Bottlenose Dolphin,27,21.1,Water
0.255,2.146,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,140,F,3,Lucea,Bottlenose Dolphin,23,29,Water
0,2.146,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1,140,F,3,Lucea,Bottlenose Dolphin,23,29,Water
0.204,2.146,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,140,F,2,Lucea,Bottlenose Dolphin,23,29,Water
0.255,2.121,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,132,M,2,Lucky,Bottlenose Dolphin,10,29,Water
0.38,2.121,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,132,M,2,Lucky,Bottlenose Dolphin,10,29,Water
0.079,2.121,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,132,M,1,Lucky,Bottlenose Dolphin,10,29,Water
0.146,2.173,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,149,F,3,Lunaa,Bottlenose Dolphin,23,29,Water
