common_name,individual_name,sex,body_mass,numberbreaths,obsperiod,activity_level,Institution,age,mb,fr,order,family,genus,species,habitat,log_Mb,log_fr,breath_rate,temp,location
Addax antelope,Tärna,F,90,35,3,1,Kolmarden,7,90,11.7,Artiodactyla,Bovidae,Addax ,nasomaculatus,terrestrial,1.954,1.067,11.66809617,14.4,air
Addax antelope,Tärna,F,90,57,5,1,Kolmarden,7,90,11.4,Artiodactyla,Bovidae,Addax ,nasomaculatus,terrestrial,1.954,1.057,11.40249788,14.4,air
Addax antelope,Tärna,F,90,46,5,1,Kolmarden,7,90,9.2,Artiodactyla,Bovidae,Addax ,nasomaculatus,terrestrial,1.954,0.964,9.204495718,14.4,air
Addax antelope,Tärna,F,90,17,1.5,1,Kolmarden,7,90,11.3,Artiodactyla,Bovidae,Addax ,nasomaculatus,terrestrial,1.954,1.054,11.32400363,14.8,air
South african fur seal ,Akilah,F,72,20,5,1,Kolmarden,23,72,4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.857,0.602,3.999447498,8.0,air
South african fur seal ,Akilah,F,72,22,5,1,Kolmarden,23,72,4.4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.857,0.643,4.395416154,16.0,air
South african fur seal ,Akilah,F,72,18,5,1,Kolmarden,23,72,3.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.857,0.556,3.597493352,10.0,air
South african fur seal ,Akilah,F,73,31,5,1,Kolmarden,23,73,6.2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.863,0.792,6.194410751,25.0,air
South african fur seal ,Akilah,F,73,17,5,1,Kolmarden,23,73,3.4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.863,0.531,3.396252726,25.0,air
South african fur seal ,Akilah,F,73,35,5,1,Kolmarden,23,73,7,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.863,0.845,6.99841996,25.0,air
South african fur seal ,Akilah,F,63,34,5,2,Kolmarden,23,63,6.8,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.799,0.833,6.807693587,9.0,air
South african fur seal ,Ebb,F,26.5,22,5,2,Kolmarden,4,26.5,4.4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.423,0.643,4.395416154,7.0,air
South african fur seal ,Ebb,F,26.5,28,5,3,Kolmarden,4,26.5,5.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.423,0.748,5.597576015,7.0,air
South african fur seal ,Ebb,F,26.5,22,5,1,Kolmarden,4,26.5,4.4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.423,0.643,4.395416154,16.0,air
South african fur seal ,Ebb,F,27,20,5,2,Kolmarden,4,27,4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.431,0.602,3.999447498,25.0,air
South african fur seal ,Flod,F,32,10,2,1,Kolmarden,3,32,5,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.505,0.699,5.00034535,7.0,air
South african fur seal ,Flod,F,32,18,5,2,Kolmarden,3,32,3.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.505,0.556,3.597493352,10.0,air
South african fur seal ,Flod,F,32,20,5,1,Kolmarden,3,32,4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.505,0.602,3.999447498,10.0,air
South african fur seal ,Flod,F,32,39?,5,1,Kolmarden,3,32,7.8,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.505,0.892,7.798301105,10.0,air
South african fur seal ,Flod,F,35,18,5,1,Kolmarden,3,35,3.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.544,0.556,3.597493352,25.0,air
South african fur seal ,Flod,F,35,16,5,1,Kolmarden,3,35,3.2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.544,0.505,3.19889511,25.0,air
Brown fur seal,Gil,M,140,16,5,2,ZooMarine,25,140,3.2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,2.146,0.505,3.19889511,19.6,water
Brown fur seal,Gil,M,140,49,5,2,ZooMarine,25,140,9.8,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,2.146,0.991,9.794899854,21.0,air
Brown fur seal,Gil,M,140,29,5,1,ZooMarine,25,140,5.8,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,2.146,0.763,5.794286964,18.0,air
Brown fur seal,Gil,M,140,11,5,2,ZooMarine,25,140,2.2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,2.146,0.342,2.197859873,20.4,water
South african fur seal ,Maji,M,149,15,5,1,Kolmarden,12,149,3,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,2.173,0.477,2.999162519,9.0,air
South african fur seal ,Maji ,M,190,18,5,1,Kolmarden,12,190,3.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,2.279,0.556,3.597493352,8.0,air
South african fur seal ,Maji ,M,190,12,5,1,Kolmarden,12,190,2.4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,2.279,0.38,2.398832919,8.0,air
South african fur seal ,Maji ,M,190,11,5,1,Kolmarden,12,190,2.2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,2.279,0.342,2.197859873,8.0,air
South african fur seal ,Maji ,M,168,14,5,1,Kolmarden,12,168,2.8,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,2.225,0.447,2.79898132,25.0,air
South african fur seal ,Maji ,M,168,8,5,1,Kolmarden,12,168,1.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,2.225,0.204,1.599558029,25.0,air
South african fur seal ,Maji ,M,168,14,5,1,Kolmarden,12,168,2.8,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,2.225,0.447,2.79898132,25.0,air
South african fur seal ,Maji ,M,161,2,0.5,2,Kolmarden,12,161,4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,2.207,0.602,3.999447498,7.0,water
South african fur seal ,Muskot,M,39.5,21,5,2,Kolmarden,4,39.5,4.2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.597,0.623,4.19758984,7.0,air
South african fur seal ,Muskot,M,39.5,20,5,1,Kolmarden,4,39.5,4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.597,0.602,3.999447498,8.0,air
South african fur seal ,Muskot,M,39.5,18,5,1,Kolmarden,4,39.5,3.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.597,0.556,3.597493352,16.0,air
South african fur seal ,Muskot,M,40,15,5,1,Kolmarden,4,40,3,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.602,0.477,2.999162519,25.0,air
South african fur seal ,Säly,F,57,10,5,1,Kolmarden,10,57,2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.756,0.301,1.99986187,8.0,air
South african fur seal ,Säly,F,57,9,5,1,Kolmarden,10,57,1.8,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.756,0.255,1.798870915,16.0,air
South african fur seal ,Säly,F,57,11,5,1,Kolmarden,10,57,2.2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.756,0.342,2.197859873,10.0,air
South african fur seal ,Säly,F,55,19,5,1,Kolmarden,10,55,3.8,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.74,0.58,3.801893963,25.0,air
South african fur seal ,Säly,F,57,5,1,2,Kolmarden,10,57,5,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.756,0.699,5.00034535,4.1,water
South african fur seal ,Stella,F,69,27,5,2,Kolmarden,10,69,5.4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.839,0.732,5.395106225,7.0,air
South african fur seal ,Stella,F,69,12,5,1,Kolmarden,10,69,2.4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.839,0.38,2.398832919,8.0,air
South african fur seal ,Stella,F,69,13,5,1,Kolmarden,10,69,2.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.839,0.415,2.600159563,16.0,air
South african fur seal ,Stella,F,63,18,5,1,Kolmarden,10,63,3.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.799,0.556,3.597493352,25.0,air
South african fur seal ,Stella,F,63,33,5,1,Kolmarden,10,63,6.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.799,0.82,6.60693448,25.0,air
South african fur seal ,Stella,F,69,23,5,2,Kolmarden,10,69,4.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.839,0.663,4.602565736,7.0,water
South african fur seal ,Stella,F,68.5,6,1,2,Kolmarden,10,68.5,6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.836,0.778,5.997910763,4.1,water
South african fur seal ,Timjan,F,68.5,12,5,1,Kolmarden,10,68.5,2.4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.836,0.38,2.398832919,8.0,air
South african fur seal ,Timjan,F,68.5,18,5,1,Kolmarden,10,68.5,3.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.836,0.556,3.597493352,16.0,air
South african fur seal ,Timjan,F,70,13,5,1,Kolmarden,10,70,2.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,1.845,0.415,2.600159563,25.0,air
