common_name,individual_name,sex,body_mass,numberbreaths,obsperiod,activity_level,Institution,age,mb,sex,fr,order,family,genus,species,habitat,Where measured,log_Mb,log_fr,habitat,breath_rate,temp,location
Manatee,Africa,F,1650,2,5,1,DolphinCo-IslaMujeres,6,1650,F,0.4,Sirenia,Trichechidae,Trichechus  ,manatus,aquatic,water,3.217,-0.398,aquatic,0.39994475,27.41,water
South african fur seal ,Akilah,F,72,20,5,1,Kolmarden,23,72,F,4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.857,0.602,semiaquatic,3.999447498,8,air
South african fur seal ,Akilah,F,72,22,5,1,Kolmarden,23,72,F,4.4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.857,0.643,semiaquatic,4.395416154,16,air
South african fur seal ,Akilah,F,72,18,5,1,Kolmarden,23,72,F,3.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.857,0.556,semiaquatic,3.597493352,10,air
South african fur seal ,Akilah,F,73,31,5,1,Kolmarden,23,73,F,6.2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.863,0.792,semiaquatic,6.194410751,25,air
South african fur seal ,Akilah,F,73,17,5,1,Kolmarden,23,73,F,3.4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.863,0.531,semiaquatic,3.396252726,25,air
South african fur seal ,Akilah,F,73,35,5,1,Kolmarden,23,73,F,7,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.863,0.845,semiaquatic,6.99841996,25,air
South african fur seal ,Akilah,F,63,34,5,2,Kolmarden,23,63,F,6.8,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.799,0.833,semiaquatic,6.807693587,9,air
Alpaca,AL,M,82.2,123,5,2,DolphinCo,7,82.2,M,24.6,Artiodactyla,Camelidae,Vicugna ,pacos,terrestrial,air,1.915,1.391,terrestrial,24.60367604,21,air
Alpaca,AL,M,82.2,118,5,2,DolphinCo,7,82.2,M,23.6,Artiodactyla,Camelidae,Vicugna ,pacos,terrestrial,air,1.915,1.373,terrestrial,23.60478233,19,air
Alpaca,AL,M,82.2,105,5,2,DolphinCo-Cayman,7,82.2,M,21,Artiodactyla,Camelidae,Vicugna ,pacos,terrestrial,air,1.915,1.322,terrestrial,20.98939884,19,air
Bottlenose dolphin,Al,M,182,9,5,2,DolphinCo-Cayman,36,182,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.26,0.255,aquatic,1.798870915,29,water
Bottlenose dolphin,Al,M,182,8,5,1,DolphinCo-Cayman,36,182,M,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.26,0.204,aquatic,1.599558029,29,water
Bottlenose dolphin,Al,M,182,6,5,1,DolphinCo-Cayman,36,182,M,1.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.26,0.079,aquatic,1.199499303,29,water
Bottlenose dolphin,Alana,F,124,7,3,1,Kolmarden,5,124,F,2.3,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.093,0.368,aquatic,2.333458062,22,water
Bottlenose dolphin,Alana,F,124,12,5,2,Kolmarden,5,124,F,2.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.093,0.38,aquatic,2.398832919,22,water
Bottlenose dolphin,Alana,F,124,8,5,1,Kolmarden,5,124,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.093,0.204,aquatic,1.599558029,22,water
Bottlenose dolphin,Alana,F,127.5,9,5,2,Kolmarden,5,127.5,F,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.106,0.255,aquatic,1.798870915,21,water
Bottlenose dolphin,Alana,F,127.5,11,5,1,Kolmarden,5,127.5,F,2.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.106,0.342,aquatic,2.197859873,21,water
Bottlenose dolphin,Alana,F,127.5,9,5,2,Kolmarden,5,127.5,F,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.106,0.255,aquatic,1.798870915,21,water
Bottlenose dolphin,Alegria,F,172,6,5,1,DolphinCo-Cayman,36,172,F,1.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.236,0.079,aquatic,1.199499303,29,water
Bottlenose dolphin,Alegria,F,172,5,5,1,DolphinCo-Cayman,36,172,F,1,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.236,0,aquatic,1,29,water
Bottlenose dolphin,Alegria,F,172,5,5,1,DolphinCo-Cayman,36,172,F,1,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.236,0,aquatic,1,29,water
Bottlenose dolphin,Alicia,F,155,8,5,3,DolphinCo-PuntaCana,8,155,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.19,0.204,aquatic,1.599558029,28.69,water
Bottlenose dolphin,Alicia,F,155,9,5,3,DolphinCo-PuntaCana,8,155,F,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.19,0.255,aquatic,1.798870915,28.84,water
Bottlenose dolphin,Alicia,F,155,10,5,2,DolphinCo-PuntaCana,8,155,F,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.19,0.301,aquatic,1.99986187,29.2,water
Bottlenose dolphin,Alma,F,170,4,5,1,DolphinCo-Cayman,39,170,F,0.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.23,-0.097,aquatic,0.799834255,29,water
Bottlenose dolphin,Alma,F,170,5,5,1,DolphinCo-Cayman,39,170,F,1,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.23,0,aquatic,1,29,water
Bottlenose dolphin,Alma,F,170,5,5,1,DolphinCo-Cayman,39,170,F,1,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.23,0,aquatic,1,29,water
Bottlenose dolphin,Alpha,F,166,8,5,2,ZooMarine,17,166,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.22,0.204,aquatic,1.599558029,19.4,water
