common_name,individual_name,sex,body_mass,numberbreaths,obsperiod,activity_level,Institution,age,mb,sex,fr,order,family,genus,species,habitat,Where measured,log_Mb,log_fr,habitat,breath_rate,temp,location
Harbor seal,Darky,F,67,27,5,1,ZooMarine,34,67,F,5.4,Carnivora,Phocidae,Phoca,vitulina,semiaquatic,water,1.826,0.732,semiaquatic,5.395106225,19.6,water
Harbor seal,Darky,F,67,32,5,2,ZooMarine,34,67,F,6.4,Carnivora,Phocidae,Phoca,vitulina,semiaquatic,water,1.826,0.806,semiaquatic,6.397348355,20.6,water
False killer whale,Dars,M,503,9,9.5,1,Okinawa-Chumari,NA,503,M,0.9,Artiodactyla,Delphinidae,Pseudorca,crassidens,aquatic,water,2.702,-0.023,aquatic,0.948418463,21.8,water
Bottlenose dolphin,Denise,F,170,7,5,2,DolphinCo-MSQ,24,170,F,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.23,0.146,aquatic,1.399587323,31,water
Bottlenose dolphin,Denise,F,170,7,5,2,DolphinCo-MSQ,24,170,F,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.23,0.146,aquatic,1.399587323,31,water
Bottlenose dolphin,Denise,F,170,8,5,2,DolphinCo-MSQ,24,170,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.23,0.204,aquatic,1.599558029,31,water
Bottlenose dolphin,Desire,F,153,12,5,3,DolphinCo-PuntaCana,14,153,F,2.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.185,0.38,aquatic,2.398832919,28.57,water
Bottlenose dolphin,Desire,F,153,8,5,2,DolphinCo-PuntaCana,14,153,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.185,0.204,aquatic,1.599558029,28.63,water
Bottlenose dolphin,Desire,F,153,10,5,3,DolphinCo-PuntaCana,14,153,F,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.185,0.301,aquatic,1.99986187,28.5,water
Mihor gazelle,Dexter,M,60,23,2,1,Kolmarden,4,60,M,11.5,Artiodactyla,Bovidae,Nanger,dama mhorr ,terrestrial,air,1.778,1.061,terrestrial,11.50800389,14.4,air
Bottlenose dolphin,DIEGO,M,123,9,5,1,DolphinCo-Maroma,11,123,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.09,0.255,aquatic,1.798870915,27,water
Bottlenose dolphin,DIEGO,M,123,12,5,1,DolphinCo-Maroma,11,123,M,2.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.09,0.38,aquatic,2.398832919,30,water
Bottlenose dolphin,DIEGO,M,123,16,5,3,DolphinCo-Maroma,11,123,M,3.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.09,0.505,aquatic,3.19889511,31,water
Bottlenose dolphin,Dino,M,222,9,5,2,ZooMarine,27,222,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.346,0.255,aquatic,1.798870915,19.2,water
Bottlenose dolphin,Dino,M,222,15,5,1,ZooMarine,27,222,M,3,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.346,0.477,aquatic,2.999162519,20.3,water
Bottlenose dolphin,Dino,M,222,7,5,1,ZooMarine,27,222,M,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.346,0.146,aquatic,1.399587323,20.7,water
South American sea lion,Dora,F,75,19,5,1,DolphinCo-IslaMujeres,15,75,F,3.8,Carnivora,Otariidae,Otaria ,flavesencs,semiaquatic,water,1.875,0.58,semiaquatic,3.801893963,26.98,water
South American sea lion,Dora,F,75,13,5,1,DolphinCo-IslaMujeres,15,75,F,2.6,Carnivora,Otariidae,Otaria ,flavesencs,semiaquatic,water,1.875,0.415,semiaquatic,2.600159563,27.15,water
South American sea lion,Dora,F,75,14,5,1,DolphinCo-IslaMujeres,15,75,F,2.8,Carnivora,Otariidae,Otaria ,flavesencs,semiaquatic,water,1.875,0.447,semiaquatic,2.79898132,27.41,water
Rough toothed dolphin,Doris,F,112.2,5,5,1,GulfWorld,26,112.2,F,1,Artiodactyla,Delphinidae,Steno,bredanensis,aquatic,water,2.05,0,aquatic,1,25,water
Rough toothed dolphin,Doris,F,112.2,6,5,1,GulfWorld,26,112.2,F,1.2,Artiodactyla,Delphinidae,Steno,bredanensis,aquatic,water,2.05,0.079,aquatic,1.199499303,25,water
Rough toothed dolphin,Doris,F,112.2,6,5,1,GulfWorld,26,112.2,F,1.2,Artiodactyla,Delphinidae,Steno,bredanensis,aquatic,water,2.05,0.079,aquatic,1.199499303,25,water
Manatee,Dorothy ,F,500,2,5,2,DolphinCo-PuertoAventuras,20,500,F,0.4,Sirenia,Trichechidae,Trichechus  ,manatus,aquatic,water,2.699,-0.398,aquatic,0.39994475,31.44,water
Manatee,Dorothy ,F,500,3,5,2,DolphinCo-PuertoAventuras,20,500,F,0.6,Sirenia,Trichechidae,Trichechus  ,manatus,aquatic,water,2.699,-0.222,aquatic,0.599791076,31.54,water
Manatee,Dorothy ,F,500,1,5,1,DolphinCo-PuertoAventuras,20,500,F,0.2,Sirenia,Trichechidae,Trichechus  ,manatus,aquatic,water,2.699,-0.699,aquatic,0.199986187,31.59,water
Bottlenose dolphin,Drake,M,127,9,5,2,DolphinCo-Cayman,8,127,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.104,0.255,aquatic,1.798870915,29,water
Bottlenose dolphin,Drake,M,127,11,5,2,DolphinCo-Cayman,8,127,M,2.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.104,0.342,aquatic,2.197859873,29,water
Bottlenose dolphin,Drake,M,127,5,5,1,DolphinCo-Cayman,8,127,M,1,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.104,0,aquatic,1,29,water
Addax antelope,Dune,F,100,48,5,1,Kolmarden,5,100,F,9.6,Artiodactyla,Bovidae,Addax ,nasomaculatus,terrestrial,air,2,0.982,terrestrial,9.594006315,14.4,air
Addax antelope,Dune,F,100,60,5,1,Kolmarden,5,100,F,12,Artiodactyla,Bovidae,Addax ,nasomaculatus,terrestrial,air,2,1.079,terrestrial,11.99499303,14.4,air
Addax antelope,Dune,F,100,57,5,1,Kolmarden,5,100,F,11.4,Artiodactyla,Bovidae,Addax ,nasomaculatus,terrestrial,air,2,1.057,terrestrial,11.40249788,14.4,air
Addax antelope,Dune,F,100,47,4,1,Kolmarden,5,100,F,11.8,Artiodactyla,Bovidae,Addax ,nasomaculatus,terrestrial,air,2,1.07,terrestrial,11.74897555,14.8,air
South african fur seal ,Ebb,F,26.5,22,5,2,Kolmarden,4,26.5,F,4.4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.423,0.643,semiaquatic,4.395416154,7,air
South african fur seal ,Ebb,F,26.5,28,5,3,Kolmarden,4,26.5,F,5.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.423,0.748,semiaquatic,5.597576015,7,air
South african fur seal ,Ebb,F,26.5,22,5,1,Kolmarden,4,26.5,F,4.4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.423,0.643,semiaquatic,4.395416154,16,air
South african fur seal ,Ebb,F,27,20,5,2,Kolmarden,4,27,F,4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.431,0.602,semiaquatic,3.999447498,25,air
Harbor seal,Eddie,M,78,19,5,2,ZooMarine,27,78,M,3.8,Carnivora,Phocidae,Phoca,vitulina,semiaquatic,water,1.892,0.58,semiaquatic,3.801893963,19.2,water
Harbor seal,Eddie,M,78,11,5,2,ZooMarine,27,78,M,2.2,Carnivora,Phocidae,Phoca,vitulina,semiaquatic,water,1.892,0.342,semiaquatic,2.197859873,20,water
Harbor seal,Eddie,M,78,12,5,2,ZooMarine,27,78,M,2.4,Carnivora,Phocidae,Phoca,vitulina,semiaquatic,water,1.892,0.38,semiaquatic,2.398832919,20.4,water
Steller Sea Lion,Eden,F,185.5,13,5,1,MysticAquarium,23,185.5,F,2.6,Carnivora,Otariidae,Eumetopias, jubatus,semiaquatic,water,2.268,0.415,semiaquatic,2.600159563,8.444444444,water
Steller Sea Lion,Eden,F,185.5,12,5,1,MysticAquarium,23,185.5,F,2.4,Carnivora,Otariidae,Eumetopias, jubatus,semiaquatic,water,2.268,0.38,semiaquatic,2.398832919,8.944444444,water
Steller Sea Lion,Eden,F,185.5,12,5,1,MysticAquarium,23,185.5,F,2.4,Carnivora,Otariidae,Eumetopias, jubatus,semiaquatic,water,2.268,0.38,semiaquatic,2.398832919,8.888888889,water
Steller Sea Lion,Eden,F,184,13,5,1,MysticAquarium,23,184,F,2.6,Carnivora,Otariidae,Eumetopias, jubatus,semiaquatic,water,2.265,0.415,semiaquatic,2.600159563,9.444444444,water
Steller Sea Lion,Eden,F,184,12,5,1,MysticAquarium,23,184,F,2.4,Carnivora,Otariidae,Eumetopias, jubatus,semiaquatic,water,2.265,0.38,semiaquatic,2.398832919,10.16666667,water
Bottlenose dolphin,Edison ,M,102,10,5,2,DolphinCo-IslaMujeres,6,102,M,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.009,0.301,aquatic,1.99986187,26.98,water
Bottlenose dolphin,Edison ,M,102,13,5,3,DolphinCo-IslaMujeres,6,102,M,2.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.009,0.415,aquatic,2.600159563,27.15,water
Bottlenose dolphin,Edison ,M,102,9,5,2,DolphinCo-IslaMujeres,6,102,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.009,0.255,aquatic,1.798870915,27.41,water
Pacific white-sided dolphin ,ELELO,M,78,19,5,2,DolphinCo-MSQ,5,78,M,3.8,Artiodactyla,Delphinidae,Lagenorhynchus,obliquidens,aquatic,water,1.892,0.58,aquatic,3.801893963,17,water
Pacific white-sided dolphin ,ELELO,M,78,12,5,2,DolphinCo-MSQ,5,78,M,2.4,Artiodactyla,Delphinidae,Lagenorhynchus,obliquidens,aquatic,water,1.892,0.38,aquatic,2.398832919,17,water
Pacific white-sided dolphin ,ELELO,M,78,14,5,1,DolphinCo-MSQ,5,78,M,2.8,Artiodactyla,Delphinidae,Lagenorhynchus,obliquidens,aquatic,water,1.892,0.447,aquatic,2.79898132,16.6,water
Bottlenose dolphin,Elena,F,134,10,5,2,DolphinCo-CostaMaya,11,134,F,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.127,0.301,aquatic,1.99986187,30.2,water
Bottlenose dolphin,Elena,F,134,7,5,1,DolphinCo-CostaMaya,11,134,F,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.127,0.146,aquatic,1.399587323,30.16,water
Bottlenose dolphin,Elena,F,134,9,5,2,DolphinCo-CostaMaya,11,134,F,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.127,0.255,aquatic,1.798870915,30.28,water
Bottlenose dolphin,Esperanza,F,142,13,5,2,DolphinCo-Cayman,29,142,F,2.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.152,0.415,aquatic,2.600159563,29,water
Bottlenose dolphin,Esperanza,F,142,8,5,1,DolphinCo-Cayman,29,142,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.152,0.204,aquatic,1.599558029,29,water
Bottlenose dolphin,Esperanza,F,142,7,5,1,DolphinCo-Cayman,29,142,F,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.152,0.146,aquatic,1.399587323,29,water
Manatee,Fabián ,M,300,1,5,1,DolphinCo-Dreams,23,300,M,0.2,Sirenia,Trichechidae,Trichechus  ,manatus,aquatic,water,2.477,-0.699,aquatic,0.199986187,31.1,water
Manatee,Fabián ,M,300,3,5,2,DolphinCo-Dreams,23,300,M,0.6,Sirenia,Trichechidae,Trichechus  ,manatus,aquatic,water,2.477,-0.222,aquatic,0.599791076,31.33,water
Manatee,Fabián ,M,300,1,5,2,DolphinCo-Dreams,23,300,M,0.2,Sirenia,Trichechidae,Trichechus  ,manatus,aquatic,water,2.477,-0.699,aquatic,0.199986187,31.31,water
Harbor seal,Félix,M,58,12,5,2,ZooMarine,6,58,M,2.4,Carnivora,Phocidae,Phoca,vitulina,semiaquatic,water,1.763,0.38,semiaquatic,2.398832919,20,water
Harbor seal,Félix,M,58,15,5,2,ZooMarine,6,58,M,3,Carnivora,Phocidae,Phoca,vitulina,semiaquatic,water,1.763,0.477,semiaquatic,2.999162519,20,water
Harbor seal,Félix,M,58,19,5,2,ZooMarine,6,58,M,3.8,Carnivora,Phocidae,Phoca,vitulina,semiaquatic,water,1.763,0.58,semiaquatic,3.801893963,20.6,water
Bottlenose dolphin,Fenah,F,154,6,5,1,Kolmarden,15,154,F,1.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.188,0.079,aquatic,1.199499303,22,water
Bottlenose dolphin,Fenah,F,154,6,5,1,Kolmarden,15,154,F,1.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.188,0.079,aquatic,1.199499303,22,water
Bottlenose dolphin,Fenah,F,154,7,5,1,Kolmarden,15,154,F,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.188,0.146,aquatic,1.399587323,22,water
Bottlenose dolphin,Fenah,F,153.5,9,5,2,Kolmarden,15,153.5,F,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.186,0.255,aquatic,1.798870915,21,water
Bottlenose dolphin,Fenah,F,153.5,10,5,2,Kolmarden,15,153.5,F,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.186,0.301,aquatic,1.99986187,21,water
Bottlenose dolphin,Fenah,F,153.5,6,3.833,1,Kolmarden,15,153.5,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.186,0.195,aquatic,1.56675107,21,water
Bottlenose dolphin,Fenah,F,154,8,5,1,Kolmarden,15,154,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.188,0.204,aquatic,1.599558029,22.4,water
Bottlenose dolphin,Fenah,F,154,7,5,1,Kolmarden,15,154,F,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.188,0.146,aquatic,1.399587323,22.4,water
Bottlenose dolphin,Fenah,F,156,8,5,1,Kolmarden,15,156,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.193,0.204,aquatic,1.599558029,22.4,water
Bottlenose dolphin,Fenah,F,157.5,7,5,1,Kolmarden,15,157.5,F,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.197,0.146,aquatic,1.399587323,22,water
Bottlenose dolphin,Fenah,F,157.5,8,5,1,Kolmarden,15,157.5,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.197,0.204,aquatic,1.599558029,22,water
Bottlenose dolphin,Fenah,F,157.5,9,5,1,Kolmarden,15,157.5,F,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.197,0.255,aquatic,1.798870915,22,water
Bottlenose dolphin,Fénix,M,103,9,5,1,DolphinCo-Cozumel,11,103,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.013,0.255,aquatic,1.798870915,27.8,water
Bottlenose dolphin,Fénix,M,103,9,5,1,DolphinCo-Cozumel,11,103,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.013,0.255,aquatic,1.798870915,27.9,water
Bottlenose dolphin,Fénix,M,103,8,5,1,DolphinCo-Cozumel,11,103,M,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.013,0.204,aquatic,1.599558029,28.4,water
Bottlenose dolphin,Fernando,M,130,8,5,2,DolphinCo-CostaMaya,9,130,M,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.114,0.204,aquatic,1.599558029,30.22,water
Bottlenose dolphin,Fernando,M,130,10,5,2,DolphinCo-CostaMaya,9,130,M,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.114,0.301,aquatic,1.99986187,30.28,water
Bottlenose dolphin,Fernando,M,130,10,5,2,DolphinCo-CostaMaya,9,130,M,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.114,0.301,aquatic,1.99986187,30.37,water
Bottlenose dolphin,Finn,M,138,11,5,3,Kolmarden,5,138,M,2.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.14,0.342,aquatic,2.197859873,22,water
Bottlenose dolphin,Finn,M,138,11,5,1,Kolmarden,5,138,M,2.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.14,0.342,aquatic,2.197859873,22,water
Bottlenose dolphin,Finn,M,138,14,5,2,Kolmarden,5,138,M,2.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.14,0.447,aquatic,2.79898132,22,water
Bottlenose dolphin,Finn,M,142,10,5,2,Kolmarden,5,142,M,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.152,0.301,aquatic,1.99986187,21,water
Bottlenose dolphin,Finn,M,142,9,5,1,Kolmarden,5,142,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.152,0.255,aquatic,1.798870915,21,water
Bottlenose dolphin,Finn,M,142,7,5,1,Kolmarden,5,142,M,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.152,0.146,aquatic,1.399587323,21,water
Bottlenose dolphin,Finn,M,147.7,9,5,1,MississipiAquarium,10,147.7272727,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.169,0.255,aquatic,1.798870915,26.11111111,water
Bottlenose dolphin,Finn,M,147.7,10,5,1,MississipiAquarium,10,147.7272727,M,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.169,0.301,aquatic,1.99986187,26.61111111,water
Bottlenose dolphin,Finn,M,148.2,9,5,1,MississipiAquarium,10,148.1818182,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.171,0.255,aquatic,1.798870915,26.5,water
Bottlenose dolphin,Finn,M,148.2,13,5,1,MississipiAquarium,10,148.1818182,M,2.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.171,0.415,aquatic,2.600159563,25.66666667,water
Bottlenose dolphin,Finn,M,149.5,9,5,1,MississipiAquarium,10,149.5454545,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.175,0.255,aquatic,1.798870915,26.33333333,water
South african fur seal ,Flod,F,32,10,2,1,Kolmarden,3,32,F,5,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.505,0.699,semiaquatic,5.00034535,7,air
South african fur seal ,Flod,F,32,18,5,2,Kolmarden,3,32,F,3.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.505,0.556,semiaquatic,3.597493352,10,air
South african fur seal ,Flod,F,32,20,5,1,Kolmarden,3,32,F,4,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.505,0.602,semiaquatic,3.999447498,10,air
South african fur seal ,Flod,F,32,39?,5,1,Kolmarden,3,32,F,7.8,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.505,0.892,semiaquatic,7.798301105,,air
South african fur seal ,Flod,F,35,18,5,1,Kolmarden,3,35,F,3.6,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.544,0.556,semiaquatic,3.597493352,25,air
South african fur seal ,Flod,F,35,16,5,1,Kolmarden,3,35,F,3.2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,1.544,0.505,semiaquatic,3.19889511,25,air
Bottlenose dolphin,Frida,F,145,8,5,2,DolphinCo-CostaMaya,21,145,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.161,0.204,aquatic,1.599558029,30.11,water
Bottlenose dolphin,Frida,F,145,9,5,2,DolphinCo-CostaMaya,21,145,F,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.161,0.255,aquatic,1.798870915,30.2,water
Bottlenose dolphin,Frida,F,145,7,5,1,DolphinCo-CostaMaya,21,145,F,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.161,0.146,aquatic,1.399587323,30.16,water
Grey seal,GAIA,F,95,12,5,1,DolphinCo-ZooMarine,16,95,F,2.4,Carnivora,Phocidae,Halichoerus ,grypus,semiaquatic,water,1.978,0.38,semiaquatic,2.398832919,29.3,water
Grey seal,GAIA,F,95,11,5,1,DolphinCo-ZooMarine,16,95,F,2.2,Carnivora,Phocidae,Halichoerus ,grypus,semiaquatic,water,1.978,0.342,semiaquatic,2.197859873,23.4,water
Grey seal,GAIA,F,95,10,5,2,DolphinCo-ZooMarine,16,95,F,2,Carnivora,Phocidae,Halichoerus ,grypus,semiaquatic,water,1.978,0.301,semiaquatic,1.99986187,26.4,water
Bottlenose dolphin,Galileo,M,174,8,5,2,DolphinCo-Cayman,20,174,M,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.241,0.204,aquatic,1.599558029,29,water
Bottlenose dolphin,Galileo,M,174,7,5,1,DolphinCo-Cayman,20,174,M,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.241,0.146,aquatic,1.399587323,29,water
Bottlenose dolphin,Galileo,M,174,6,5,1,DolphinCo-Cayman,20,174,M,1.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.241,0.079,aquatic,1.199499303,29,water
Bottlenose dolphin,Gandalf,M,93,11,5,2,DolphinCo-IslaMujeres,6,93,M,2.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,1.968,0.342,aquatic,2.197859873,27.93,water
Bottlenose dolphin,Gandalf,M,93,12,5,3,DolphinCo-IslaMujeres,6,93,M,2.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,1.968,0.38,aquatic,2.398832919,27.15,water
Bottlenose dolphin,Gandalf,M,93,11,5,2,DolphinCo-IslaMujeres,6,93,M,2.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,1.968,0.342,aquatic,2.197859873,27.41,water
Giraff,Garp,M,950,25,5,1,Kolmarden,17,950,M,5,Artiodactyla,Giraffidae,Giraffa,camelopardalis reticulata,terrestrial,air,2.978,0.699,terrestrial,5.00034535,14.4,air
Giraff,Garp,M,950,74,10,1,Kolmarden,17,950,M,7.4,Artiodactyla,Giraffidae,Giraffa,camelopardalis reticulata,terrestrial,air,2.978,0.869,terrestrial,7.396052751,14,air
Giraff,Garp,M,950,29,10,1,Kolmarden,17,950,M,2.9,Artiodactyla,Giraffidae,Giraffa,camelopardalis reticulata,terrestrial,air,2.978,0.462,terrestrial,2.897343588,14.5,air
Bottlenose dolphin,Gaudi,M,143,12,5,1,DolphinCo-PuntaCana,10,143,M,2.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.155,0.38,aquatic,2.398832919,28.39,water
Bottlenose dolphin,Gaudi,M,143,13,5,1,DolphinCo-PuntaCana,10,143,M,2.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.155,0.415,aquatic,2.600159563,28.09,water
Bottlenose dolphin,Gaudi,M,143,10,5,1,DolphinCo-PuntaCana,10,143,M,2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.155,0.301,aquatic,1.99986187,28.52,water
Bottlenose dolphin,Gemini,F,129,7,5,2,DolphinCo-MSQ,9,129,F,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.111,0.146,aquatic,1.399587323,31,water
Bottlenose dolphin,Gemini,F,129,6,5,2,DolphinCo-MSQ,9,129,F,1.2,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.111,0.079,aquatic,1.199499303,31,water
Bottlenose dolphin,Gemini,F,129,8,5,2,DolphinCo-MSQ,9,129,F,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.111,0.204,aquatic,1.599558029,31,water
Grey seal,GIGIO,M,78,12,5,1,DolphinCo-ZooMarine,7,78,M,2.4,Carnivora,Phocidae,Halichoerus ,grypus,semiaquatic,water,1.892,0.38,semiaquatic,2.398832919,28.7,water
Grey seal,GIGIO,M,78,14,5,2,DolphinCo-ZooMarine,7,78,M,2.8,Carnivora,Phocidae,Halichoerus ,grypus,semiaquatic,water,1.892,0.447,semiaquatic,2.79898132,28.1,water
Grey seal,GIGIO,M,78,14,5,2,DolphinCo-ZooMarine,7,78,M,2.8,Carnivora,Phocidae,Halichoerus ,grypus,semiaquatic,water,1.892,0.447,semiaquatic,2.79898132,26.3,water
Bottlenose dolphin,Gigio ,M,161,9,5,3,DolphinCo-IslaMujeres,14,161,M,1.8,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.207,0.255,aquatic,1.798870915,26.98,water
Bottlenose dolphin,Gigio ,M,161,7,5,1,DolphinCo-IslaMujeres,14,161,M,1.4,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.207,0.146,aquatic,1.399587323,27.15,water
Bottlenose dolphin,Gigio ,M,161,8,5,2,DolphinCo-IslaMujeres,14,161,M,1.6,Artiodactyla,Delphinidae,Tursiops,truncatus,aquatic,water,2.207,0.204,aquatic,1.599558029,27.41,water
Brown fur seal,Gil,M,140,16,5,2,ZooMarine,25,140,M,3.2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,water,2.146,0.505,semiaquatic,3.19889511,19.6,water
Brown fur seal,Gil,M,140,49,5,2,ZooMarine,25,140,M,9.8,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,2.146,0.991,semiaquatic,9.794899854,21,air
Brown fur seal,Gil,M,140,29,5,1,ZooMarine,25,140,M,5.8,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,air,2.146,0.763,semiaquatic,5.794286964,18,air
Brown fur seal,Gil,M,140,11,5,2,ZooMarine,25,140,M,2.2,Carnivora,Otariidae,Arctocephalus,pusillus,semiaquatic,water,2.146,0.342,semiaquatic,2.197859873,20.4,water
False killer whale,Gon,M,630,23,10,2,Okinawa-Chumari,NA,630,M,2.3,Artiodactyla,Delphinidae,Pseudorca,crassidens,aquatic,water,2.799,0.362,aquatic,2.301441817,21.8,water
False killer whale,Gon,M,630,23,7,2,Okinawa-Chumari,NA,630,M,3.3,Artiodactyla,Delphinidae,Pseudorca,crassidens,aquatic,water,2.799,0.517,aquatic,3.288516309,22,water
False killer whale,Gon,M,630,21,7,1,Okinawa-Chumari,NA,630,M,3,Artiodactyla,Delphinidae,Pseudorca,crassidens,aquatic,water,2.799,0.477,aquatic,2.999162519,22,water
California sea lion ,Gonzo,M,179,11,5,2,Amneville,14,179,M,2.2,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,water,2.253,0.342,semiaquatic,2.197859873,13,water
California sea lion ,Gonzo,M,178.8,13,5,2,Amneville,14,178.8,M,2.6,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,water,2.252,0.415,semiaquatic,2.600159563,13,water
California sea lion ,Gonzo,M,179.8,13,5,2,Amneville,14,179.8,M,2.6,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,water,2.255,0.415,semiaquatic,2.600159563,13,water
California sea lion ,Gonzo,M,181.1,12,5,2,Amneville,14,181.1,M,2.4,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,water,2.258,0.38,semiaquatic,2.398832919,13,water
